rank|status|study|conditions|interventions|study_type|phase|funder_type|outcome_measures|number_enrolled|nct_number|start_date
4499|Completed|Zoledronate Calcium and Vitamin D in Preventing Bone Loss in Women Receiving Adjuvant Chemotherapy for Breast Cancer||DietarySupplement:calciumsalts;  DietarySupplement:cholecalciferol;  Drug:zoledronicacid|Interventional|Phase 3|Other / NIH|Bonemineraldensityinthelumbarspine|439|NCT00022087|December 2001
4500|Completed|Docetaxel in Treating Children With Relapsed or Refractory Acute Lymphoblastic or Acute Myeloid Leukemia||Drug:docetaxel|Interventional|Phase 2|Other / NIH|Responsetotherapy|12|NCT00021242|August 2002
4501|Completed|Interleukin-2 in Treating Children Who Have Undergone Bone Marrow Transplantation for Acute Myeloid Leukemia||Biological:aldesleukin|Interventional|Phase 1|Other / NIH|To determine the maximum tolerated dose (MTD) of IL-2|1|NCT00009698|March 1998
4502|Completed|Sargramostim in Decreasing Mucositis in Patients Receiving Radiation Therapy for Head and Neck Cancer||Biological:sargramostim;  Procedure:quality-of-lifeassessment;  Radiation:radiationtherapy|Interventional|Phase 3|Other / NIH|||NCT00008398|October 2000
4503|Completed|Evaluation of Memory Skills in Patients Receiving Radiation Therapy for Brain Metastases||Procedure:managementoftherapycomplications;  Procedure:quality-of-lifeassessment|Interventional||Other / NIH|Feasibility of performing a test battery of neurocognitive and quality of life measures|59|NCT00007007|November 2000
4504|Completed|Comparison of Combination Chemotherapy Regimens in Treating Patients With Ewing&apos;s Sarcoma or Neuroectodermal Tumor||Biological:filgrastim;  Drug:cyclophosphamide;  Drug:doxorubicinhydrochloride;  Drug:etoposide;  Drug:ifosfamide;  Drug:vincristinesulfate;  Procedure:adjuvanttherapy;  Procedure:conventionalsurgery;  Procedure:neoadjuvanttherapy;  Radiation:brachytherapy;  Radiation:radiationtherapy|Interventional|Phase 3|Other / NIH|Event-freesurvival|587|NCT00006734|May 2001
4505|Completed|Biafine Cream to Reduce Side Effects of Radiation Therapy in Patients Receiving Treatment for Advanced Head and Neck Cancer||Drug:Biafinecream;  Procedure:quality-of-lifeassessment;  Radiation:radiationtherapy|Interventional|Phase 3|Other / NIH|||NCT00006481|October 2000
4506|Completed|Gemcitabine in Treating Children With Relapsed or Refractory Acute Lymphoblastic Leukemia or Acute Myelogenous Leukemia||Drug:gemcitabinehydrochloride|Interventional|Phase 2|Other / NIH|DeterminetheresponseratetoGemcitabine|32|NCT00006462|April 2001
4507|Completed|Radiation Therapy and Tamoxifen in Treating Adults With Newly Diagnosed Supratentorial Glioblastoma Multiforme||Drug:tamoxifencitrate;  Radiation:radiationtherapy|Interventional|Phase 2|Other / NIH|OverallSurvival|77|NCT00006388|December 2000
4508|Completed|Rebeccamycin Analogue in Treating Children With Solid Tumors or Non-Hodgkin&apos;s Lymphoma||Drug:becatecarin|Interventional|Phase 2|NIH||200|NCT00006102|July 2000
4509|Completed|Combination Chemotherapy in Treating Patients With Non-Hodgkin&apos;s Lymphoma or Acute Lymphocytic Leukemia||Biological:filgrastim;  Drug:cyclophosphamide;  Drug:cytarabine;  Drug:dexamethasone;  Drug:doxorubicinhydrochloride;  Drug:etoposide;  Drug:ifosfamide;  Drug:leucovorincalcium;  Drug:methotrexate;  Drug:vincristinesulfate|Interventional|Phase 3|Other / NIH|Event-freesurvival|83|NCT00005977|September 2000
4510|Completed|Combination Chemotherapy in Treating Children With Newly Diagnosed Acute Lymphoblastic Leukemia||Drug:cyclophosphamide;  Drug:cytarabine;  Drug:daunorubicinhydrochloride;  Drug:dexamethasone;  Drug:leucovorincalcium;  Drug:mercaptopurine;  Drug:methotrexate;  Drug:pegaspargase;  Drug:thioguanine;  Drug:vincristinesulfate|Interventional|Phase 3|Other / NIH|Improvement in outcome in children receiving multidrug delayed-intensification therapy;  Event-free survival minimal residual disease and early response;  Occurrenceofanticipatedfailures;  Total grade 3+ central nervous system (CNS) toxicity rates based on the National Cancer Institute Common Toxicity Criteria (NCI CTC) v2.0|1076|NCT00005596|April 2000
4511|Completed|Combination Chemotherapy in Treating Children With Acute Lymphoblastic Leukemia||Drug:cyclophosphamide;  Drug:cytarabine;  Drug:daunorubicinhydrochloride;  Drug:dexamethasone;  Drug:leucovorincalcium;  Drug:mercaptopurine;  Drug:methotrexate;  Drug:pegaspargase;  Drug:thioguanine;  Drug:vincristinesulfate|Interventional|Phase 3|Other / NIH|Event-freesurvival;  Occurrenceofanticipatedfailures;  Grade 3 or greater CNS toxicity rates assessed using NCI CTC version 2.0;  Measuresoflaboratoryfactors(otherthanMRD);  Homocysteinelevels|838|NCT00005585|April 2000
4512|Completed|Combination Chemotherapy With or Without Dexrazoxane in Treating Children With Hodgkin&apos;s Disease||Biological:bleomycinsulfate;  Biological:filgrastim;  Drug:cyclophosphamide;  Drug:dexrazoxanehydrochloride;  Drug:doxorubicinhydrochloride;  Drug:etoposide;  Drug:prednisone;  Drug:vincristinesulfate;  Radiation:radiationtherapy|Interventional|Phase 3|Other / NIH|Diffusing capacity of the lungs for carbon monoxide (DLCO)|219|NCT00005578|March 1997
4513|Completed|Radiation Therapy and Cisplatin in Treating Patients With Advanced Head and Neck Cancer||Drug:cisplatin;  Radiation:radiationtherapy|Interventional|Phase 2|Other / NIH|||NCT00005088|April 2000
4514|Completed|Radiation Therapy Plus Combination Chemotherapy in Treating Patients With Small Cell Lung Cancer||Drug:cisplatin;  Drug:etoposide;  Radiation:radiationtherapy|Interventional|Phase 1|Other / NIH|Frequency of patients developing unacceptable (grade 3 or higher) acute toxicities attributable to thoracic irradiation with concurrent chemotherapy;  Compare baseline and follow-up Mini Mental Status Examinations|64|NCT00005022|February 1998
4515|Active not recruiting                  Has Results|Combination Chemotx in Treating Children or Adolescents With Newly Diagnosed Stg III or Stg IV Lymphoblastic Lymphoma||Drug:asparaginase;  Drug:cyclophosphamide;  Drug:cytarabine;  Drug:daunorubicinhydrochloride;  Drug:dexamethasone;  Drug:doxorubicinhydrochloride;  Drug:leucovorincalcium;  Drug:mercaptopurine;  Drug:methotrexate;  Drug:prednisone;  Drug:thioguanine;  Drug:vincristinesulfate;  Radiation:radiationtherapy|Interventional|Phase 3|Other / NIH|Event-freeSurvival;  Percentage of Patients With Overall Survival as Assessed by Time to Death|393|NCT00004228|June 2000
4516|Completed|Combination Chemotherapy Plus Radiation Therapy in Treating Children With Newly Diagnosed Brain Stem Glioma||Drug:etoposide;  Drug:vincristinesulfate;  Radiation:radiationtherapy|Interventional|Phase 1|Other / NIH|Survival;  Monitorthetoxicity|31|NCT00003935|September 1999
4517|Active not recruiting|Diagnostic Study of Patients With Acute Lymphoblastic Leukemia or Acute Promyelocytic Leukemia||Other:laboratorybiomarkeranalysis|Observational||Other / NIH|Disease-freesurvival;  Overallsurvival;  Association of novel genes or micorRNAs with other biomarkers;  Clinical significance of minimal residual disease (MRD) as defined by BCR-ABL;  ClinicalsignificanceofMRDasdefinedbyWT-1|840|NCT00003861|April 1999
4518|Completed|Pentosan Polysulfate in Treating Patients With Gastrointestinal Disturbance Caused by Radiation Therapy||Drug:pentosanpolysulfatesodium;  Procedure:quality-of-lifeassessment|Interventional|Phase 3|Other / NIH||174|NCT00003825|June 1999
4519|Completed|Combination Chemotherapy Plus Amifostine in Treating Children With Malignant Germ Cell Tumors||Biological:bleomycinsulfate;  Drug:amifostinetrihydrate;  Drug:cisplatin;  Drug:etoposide;  Procedure:conventionalsurgery|Interventional|Phase 2|Other / NIH|FeasibilityfromEfficacyStandpoint;  AssessmentofReductioninToxicity|27|NCT00003811|April 2000
4520|Completed|Etoposide Plus Radiation Therapy Followed by Combination Chemotherapy in Treating Children With Newly Diagnosed Advanced Medulloblastoma||Biological:filgrastim;  Drug:cisplatin;  Drug:cyclophosphamide;  Drug:etoposide;  Drug:vincristinesulfate;  Radiation:radiationtherapy|Interventional|Phase 2|Other / NIH|Assess the efficacy of oral etoposide at 50 mg/m2/day given concurrently with radiotherapy followed with dose intensive adjuvant chemotherapy in children with newly diagnosed high stage medulloblastoma|53|NCT00003573|November 1998
4521|Completed|Amifostine in Treating Patients With Stage II or Stage III Non-small Cell Lung Cancer||Biological:filgrastim;  Drug:amifostinetrihydrate;  Drug:carboplatin;  Drug:paclitaxel;  Radiation:radiationtherapy|Interventional|Phase 3|Other / NIH||243|NCT00003313|September 1998
4522|Completed|Brachytherapy in Treating Patients With Prostate Cancer||Radiation:iodineI125|Interventional|Phase 2|Other / NIH||95|NCT00003312|September 1998
4523|Completed|Vinorelbine in Treating Children With Recurrent or Refractory Cancers||Drug:vinorelbinetartrate|Interventional|Phase 2|Other / NIH|Diseaseprogression|50|NCT00003234|May 1998
4524|Completed|Radiation Therapy in Treating Patients With Bone Metastases From Breast or Prostate Cancer||Procedure:paintherapy;  Radiation:radiationtherapy|Interventional|Phase 3|Other / NIH||949|NCT00003162|February 1998
4525|Completed|Enalapril in Treating Heart Damage Patients Who Received Anthracycline Chemotherapy for Childhood Cancer||Drug:enalaprilmaleate;  Procedure:quality-of-lifeassessment|Interventional|Phase 3|Other / NIH|Cardiacfunctionalstatusandqualityoflife|13|NCT00003070|September 2000
4526|Terminated|Estrogen Replacement Therapy in Treating Women With Early-Stage Endometrial Cancer||Drug:conjugatedestrogens|Interventional|Phase 3|Other / NIH||2108|NCT00002976|June 1997
4527|Completed|S9630 Medroxyprogesterone in Treating Women With Breast Cancer||Drug:medroxyprogesterone;  Drug:tamoxifencitrate;  Procedure:adjuvanttherapy|Interventional|Phase 3|Other / NIH|Endometrialpathologicdiagnosis|313|NCT00002920|March 1997
4528|Completed|Radiation Therapy With or Without Radiosurgery in Treating Patients With Brain Metastases||Procedure:surgicalprocedure;  Radiation:radiationtherapy;  Radiation:stereotacticradiosurgery|Interventional|Phase 3|Other / NIH||333|NCT00002708|January 1996
4529|Completed|Radiation Therapy and Chemotherapy in Treating Children With CNS Relapse From Acute Lymphoblastic Leukemia||Biological:filgrastim;  Drug:asparaginase;  Drug:cyclophosphamide;  Drug:daunorubicinhydrochloride;  Drug:dexamethasone;  Drug:etoposide;  Drug:leucovorincalcium;  Drug:liposomalcytarabine;  Drug:mercaptopurine;  Drug:mesna;  Drug:methotrexate;  Drug:therapeutichydrocortisone;  Drug:thiotepa;  Drug:vincristinesulfate;  Radiation:low-LETelectrontherapy;  Radiation:low-LETphotontherapy|Interventional|Phase 2|NIH||156|NCT00002704|January 1996
4530|Completed|Radiation Therapy in Treating Patients With Stage II or Stage III Prostate Cancer||Radiation:3D-CRT|Interventional|Phase 1 / Phase 2|Other / NIH|To establish the maximum tolerated dose (MTD) of radiation that can be delivered to the prostate gland and immediate surrounding tissues in patients with carcinoma of the prostate using three dimensional conformal radiation therapy (3D-CRT).;  To quantify the normal tissue toxicity rate (normal tissue complication probability (NTCP)) for rectum and bladder using 3D-CRT;  To evaluate local control by clinical pathologic and PSA (stable in normal range) determinations;  Distantmetastasisandsurvival|1084|NCT00002602|May 1994
4531|Completed|Radiation Therapy With or Without Antiandrogen Therapy in Treating Patients With Stage I or Stage II Prostate Cancer||Drug:flutamide;  Drug:goserelinacetate;  Drug:leuprolideacetate;  Radiation:radiationtherapy|Interventional|Phase 3|Other / NIH|Overallsurvival|2028|NCT00002597|October 1994
4532|Completed|Combination Chemotherapy Followed by Bone Marrow and/or Peripheral Stem Cell Transplantation in Treating Patients With Recurrent Medulloblastoma or CNS Germ Cell Tumors||Biological:Sargramostim;  Drug:cyclophosphamide;  Drug:melphalan;  Procedure:autologousbonemarrowtransplantation;  Procedure: bone marrow ablation with stem cell support;  Procedure: peripheral blood stem cell transplantation|Interventional|Phase 2|Other / NIH|Progression-freesurvival|31|NCT00002594|September 1994
4533|Completed|Radiation Therapy in Treating Patients With Non-small Cell Lung Cancer||Radiation:radiationtherapy|Interventional|Phase 1 / Phase 2|Other / NIH||36|NCT00002577|July 1995
4534|Completed|Radiation Therapy Plus Chemotherapy in Treating Patients With Supratentorial Glioblastoma Multiforme||Drug:carmustine;  Radiation:low-LETphotontherapy|Interventional|Phase 3|Other / NIH||200|NCT00002545|February 1994
4535|Completed|Gemcitabine and/or Erlotinib as First-Line Therapy in Treating Older Patients With Stage IIIB or Stage IV Non-Small Cell Lung Cancer||Drug:erlotinibhydrochloride;  Drug:gemcitabinehydrochloride|Interventional|Phase 2|Other / NIH|Progression-freesurvival;  Responserate;  Overallsurvivalrate;  Toxicity;  Qualityoflife|147|NCT00283244|March 2006
4536|Completed|Study Of SU011248 In Patients With Metastatic Non-Small Cell Lung Cancer||Drug:Sunitinib|Interventional|Phase 2|Industry|Overallconfirmedobjectiveresponserate(ORR);  Progression-freesurvival(PFS);  Timetoprogression(TTP);  Durationofresponse(DR);  Overallsurvival(OS);  Probabilityofsurvivalat1year|111|NCT00092001|January 2005
4537|Recruiting|Study to Evaluate BIIB059 in CLE With or Without SLE||Drug:BIIB059;  Drug:Placebo|Interventional|Phase 2|Industry|Percent change from baseline in Cutaneous Lupus Erythematosus Disease Area and Severity Index - Activity (CLASI-A) score;  CLASI-50response;  Percent change from baseline over time in CLASI-A score;  A&#8805;4-pointreductioninCLASI-Ascore;  Composite of Systemic Lupus Erythematosus Responder Index response of &#8805; 4 (SRI-4) at Week 24;  Change from baseline to Week 24 in Physician&apos;s Global Assessment (PGA) visual analog scale (VAS) score;  Change from baseline to Week 24 in Systemic Lupus Erythematosus Disease Activity Index (SLEDAI)-2K score;  No new British Isles Lupus Activity Group (BILAG)-2004 A or &#8804; 2B to Week 24;  Number of participants experiencing Adverse Events (AEs and Serious Adverse Events (SAEs);  BIIB059clearance;  BIIB059volumeofdistribution;  BIIB059absorptionrate;  Number of participants with clinically significant laboratory assessment abnormalities;  Number of participants with clinically significant Vital sign abnormalities;  Number of participants with clinically significant 12-lead electrocardiograms (ECGs) abnormalities;  Number of participants with positive serum BIIB059 antibodies;  Absolute change from baseline over time in immunoglobulin levels;  Absolute change from baseline over time in vaccine titers;  Percent change from baseline over time in immunoglobulin levels;  Percent change from baseline over time in vaccine titers|290|NCT02847598|August 2016
